artifact_name,artifact_path,job_id,item_id,row_index,source_id,status,attempt_count,last_error,result_json,reported_at,completed_at
prompt_example,/Users/cjerzak/Documents/asa-software/tracked_reports/prompt_example_real.txt,3cb2e8de-44ce-4262-8d6e-4e806f6739d9,prompt_example,0,prompt_example,completed,1,,"{""artifact_name"":""prompt_example"",""verdict"":""pass"",""expectation_summary"":""This artifact should be a direct, non-empty text dump of the run prompt used by trace_test_real, not a sentinel or diagnostics payload."",""observed_summary"":""The artifact is a full prompt text (1738 bytes) containing task overview, search strategy, URL requirements, target identity, and strict JSON output instruction."",""tool_call_assessment"":""Tool-call health looks indirectly healthy from this artifact (search/tool-use intent is explicit), but this file has no direct retry/error/completion telemetry."",""evidence"":[""trace_test_real.R line 247 defines the prompt block starting with 'TASK OVERVIEW:' and matching the artifact text."",""trace_test_real.R line 415 writes prompt directly: readr::write_file(prompt, path_prompt)."",""prompt_example_real.txt is non-empty (1738 bytes) and ends with 'Return strict JSON only.'"",""The artifact includes tool-directed instructions ('search-enabled', 'Start with Wikipedia', 'Provide exact, full URLs'), consistent with intended tool-using behavior.""],""concerns"":[""This artifact does not expose execution-time tool diagnostics (retries, fallback events, completion/quality gates), so direct tool-call health must be confirmed in trace/diagnostics artifacts.""],""next_step"":""Inspect trace_real.txt and diagnostics_real.txt for direct tool-call retries/fallback/completion-gate signals if full health validation is required."",""confidence"":0.89}",2026-02-27T11:32:38+00:00,2026-02-27T11:32:48+00:00
trace,/Users/cjerzak/Documents/asa-software/tracked_reports/trace_real.txt,3cb2e8de-44ce-4262-8d6e-4e806f6739d9,trace,1,trace,completed,1,,"{""artifact_name"":""trace"",""verdict"":""pass"",""expectation_summary"":""`trace_real.txt` should be a non-empty dump of `attempt$trace_json` in `asa_trace_v1` format; unlike other artifacts, trace is not wrapped in sentinel fallback logic, so empty output would be suspicious."",""observed_summary"":""The artifact is valid non-empty JSON (`format\"":\""asa_trace_v1\""`) at 14,402 bytes with 12 messages, including alternating AI/tool turns and a final JSON answer message."",""tool_call_assessment"":""Tool calls appear healthy in this artifact: 5 AI tool calls are matched by 5 ToolMessage responses with substantive payloads, and no explicit error/retry/fallback indicators are present in the trace."",""evidence"":[""`trace_test_real.R:418-421` writes `attempt$trace_json` directly to `path_trace` (`trace_real.txt`)."",""No sentinel wrapper is applied to trace (sentinel logic is used for other artifacts via `artifact_or_sentinel`, e.g., around `plan_output`, `fold_stats`, `invoke_error`)."",""`trace_real.txt` has `format:\""asa_trace_v1\""` and is non-empty (`wc -c` = 14402); `wc -l`=0 is explained by single-line JSON without trailing newline."",""Trace message accounting is consistent: 12 messages total; 5 tool calls (`Search`,`OpenWebpage`,`Search`,`Search`,`OpenWebpage`) and 5 ToolMessages."",""Tool outputs include successful fetch metadata (e.g., `Bytes read: 183266` and `343644`, `Cache: MISS`) and no explicit exception/fallback fields.""],""concerns"":[],""next_step"":""none"",""confidence"":0.92}",2026-02-27T11:33:12+00:00,2026-02-27T11:33:24+00:00
token_stats,/Users/cjerzak/Documents/asa-software/tracked_reports/token_stats_real.txt,3cb2e8de-44ce-4262-8d6e-4e806f6739d9,token_stats,2,token_stats,completed,1,,"{""artifact_name"":""token_stats"",""verdict"":""pass"",""expectation_summary"":""`token_stats_real.txt` should be a direct JSON serialization of `attempt$token_stats` containing aggregate token counts plus `token_trace`; a sentinel/empty structure would be unexpected here."",""observed_summary"":""Artifact is populated (`tokens_used` 20493, `input_tokens` 18739, `output_tokens` 1754) with 9 `token_trace` entries spanning agent, tools, and finalize phases."",""tool_call_assessment"":""Tool-call health appears good in this artifact: tool phases are present (`mixed`, `search`, `openwebpage`) and all tool entries report `status: ok` with `error_type: null`; no tool-error signal is surfaced here."",""evidence"":[""`trace_test_real.R` writes `attempt$token_stats` directly to `path_token_stats` (`readr::write_file(jsonlite::toJSON(attempt$token_stats...))` at lines 423-425), unlike sentinel-wrapped artifacts such as `plan_output` at lines 427-431."",""Top-level totals are internally consistent: sum of `token_trace[].total_tokens` = 20493, `input_tokens` sum = 18739, `output_tokens` sum = 1754, matching top-level fields exactly."",""`token_trace` includes four `tools` nodes with `tool_name` values `mixed`, `search`, `search`, `openwebpage`; each has `status: \""ok\""` and `error_type: null`."",""Zero tool-node token counts are expected by implementation: `build_node_trace_entry` defaults missing usage to zeros (`state_graph_utils.py` lines 1091-1095), and tools trace entries are appended without a `usage` argument (`agent_graph_core.py` lines 14969-14975)."",""Artifact contains no sentinel markers (`status: \""empty\""`, `reason`, `expected_empty`) and is therefore not an empty-placeholder output.""],""concerns"":[],""next_step"":""none"",""confidence"":0.93}",2026-02-27T11:33:13+00:00,2026-02-27T11:33:24+00:00
plan_output,/Users/cjerzak/Documents/asa-software/tracked_reports/plan_output_real.txt,3cb2e8de-44ce-4262-8d6e-4e806f6739d9,plan_output,3,plan_output,completed,1,,"{""artifact_name"":""plan_output"",""verdict"":""pass"",""expectation_summary"":""When plan mode is disabled, plan_output should be a sentinel JSON marking expected emptiness, not a generated plan."",""observed_summary"":""Artifact contains sentinel values: status=empty, reason=plan_mode_disabled, expected_empty=true, mode=plan_disabled, upstream_dependency=plan_mode."",""tool_call_assessment"":""No tool-call failure signal is surfaced here; this artifact indicates planning was intentionally bypassed, so empty output is expected rather than an invoke/retry/fallback issue."",""evidence"":[""trace_test_real.R:340 sets `plan_mode_enabled <- FALSE`."",""trace_test_real.R:427-431 writes `plan_output` via `artifact_or_sentinel(..., reason = if(plan_mode_enabled) 'plan_not_generated' else 'plan_mode_disabled')`."",""trace_test_real.R:72-113 defines sentinel payload with `status='empty'`, `expected_empty=TRUE`, and maps `plan_mode_disabled` to `mode='plan_disabled'` and `upstream_dependency='plan_mode'`."",""plan_output_real.txt contains exactly those sentinel fields and values, including `reason: plan_mode_disabled` and `expected_empty: true`.""],""concerns"":[],""next_step"":""none"",""confidence"":0.96}",2026-02-27T11:32:16+00:00,2026-02-27T11:32:29+00:00
fold_stats,/Users/cjerzak/Documents/asa-software/tracked_reports/fold_stats_real.txt,3cb2e8de-44ce-4262-8d6e-4e806f6739d9,fold_stats,4,fold_stats,completed,1,,"{""artifact_name"":""fold_stats"",""verdict"":""warn"",""expectation_summary"":""`fold_stats` should write `attempt$fold_stats`; if missing, the script writes an expected-empty sentinel (`reason: fold_stats_not_available`). A no-fold run can validly report `fold_count: 0`."",""observed_summary"":""`fold_stats_real.txt` is a non-sentinel object with `fold_count: 0`; companion fold summary/archive artifacts are expected-empty sentinels, consistent with no fold event."",""tool_call_assessment"":""No fold-stage error signal is present and the stats object is structurally valid, but this artifact does not directly expose retries/fallback/tool-quality events, so tool-call health is only weakly evidenced."",""evidence"":[""`trace_test_real.R` lines 438-445 write `fold_stats_real.txt` from `attempt$fold_stats` via `artifact_or_sentinel(..., reason='fold_stats_not_available')`."",""Artifact content is exactly `{ \""fold_count\"": 0 }` (non-sentinel; no `status: \""empty\""` wrapper)."",""`artifact_or_sentinel` (lines 115-137) only emits a sentinel when value is null/empty; therefore `attempt$fold_stats` was present."",""`agent__run_engine.R` lines 290-293 default missing `fold_stats$fold_count` to `0L`, so zero is a valid no-fold state."",""`test-langgraph-remainingsteps.R` lines 743-781 explicitly validates the no-fold case as `fold_count == 0` with only that key present.""],""concerns"":[""This artifact alone cannot confirm tool-call retries/fallback/quality gates; it only confirms fold-state reporting is sane.""],""next_step"":""Check `execution_summary_real.txt` and `diagnostics_real.txt` for retry/fallback/tool_quality_events to confirm tool-call health end-to-end."",""confidence"":0.86}",2026-02-27T11:32:50+00:00,2026-02-27T11:32:59+00:00
fold_summary,/Users/cjerzak/Documents/asa-software/tracked_reports/fold_summary_real.txt,3cb2e8de-44ce-4262-8d6e-4e806f6739d9,fold_summary,5,fold_summary,completed,1,,"{""artifact_name"":""fold_summary"",""verdict"":""pass"",""expectation_summary"":""`fold_summary` should contain memory-fold summary data, or a structured expected-empty sentinel when `raw_response$summary` is absent/empty."",""observed_summary"":""Artifact is a sentinel object with `status: \""empty\""`, `reason: \""fold_summary_not_available\""`, `expected_empty: true`, and `mode: \""not_generated\""` for run `trace_real_20260227T052345`."",""tool_call_assessment"":""No direct tool-call failure signal is present here; this artifact reflects missing fold summary state (consistent with zero folds), not an invoke/retry/fallback error."",""evidence"":[""`trace_test_real.R` writes `fold_summary_output` via `artifact_or_sentinel(summary_state, artifact=\""fold_summary\"", reason=\""fold_summary_not_available\"")` (lines 457-461)."",""`artifact_or_sentinel` returns a sentinel for `NULL`/empty list values (lines 115-136), and `summary_state` is defaulted to `list()` when missing (line 454)."",""`fold_summary_real.txt` contains `status=\""empty\""`, `expected_empty=true`, `mode=\""not_generated\""`, `upstream_dependency=\""raw_response$summary\""`."",""`artifact_sentinel` maps `fold_summary` upstream dependency to `raw_response$summary` (lines 91-95), matching the artifact payload."",""`fold_stats_real.txt` shows `{\""fold_count\"": 0}`, which supports no fold summary being generated.""],""concerns"":[],""next_step"":""none"",""confidence"":0.94}",2026-02-27T11:32:43+00:00,2026-02-27T11:32:58+00:00
fold_archive,/Users/cjerzak/Documents/asa-software/tracked_reports/fold_archive_real.txt,3cb2e8de-44ce-4262-8d6e-4e806f6739d9,fold_archive,6,fold_archive,completed,1,,"{""artifact_name"":""fold_archive"",""verdict"":""warn"",""expectation_summary"":""fold_archive should be populated only when memory folding emits raw_response$archive; otherwise the script should write an expected-empty sentinel."",""observed_summary"":""fold_archive_real.txt is a sentinel object with status=empty, reason=fold_archive_not_available, expected_empty=true, mode=not_generated."",""tool_call_assessment"":""Archive absence is consistent with zero fold events (not a fold writer failure); tool calls executed, but run-level provider errors/timeouts indicate mixed health."",""evidence"":[""trace_test_real.R lines 450-455 read raw_response$archive and coerce NULL to empty list; lines 462-465 pass that through artifact_or_sentinel(reason='fold_archive_not_available')."",""trace_test_real.R lines 80-112 and 115-136 define sentinel behavior: empty inputs become status='empty', expected_empty=TRUE, mode='not_generated', upstream_dependency='raw_response$archive'."",""fold_archive_real.txt contains status='empty', artifact='fold_archive', reason='fold_archive_not_available', expected_empty=true, upstream_dependency='raw_response$archive', run_id='trace_real_20260227T052345'."",""fold_stats_real.txt reports {\""fold_count\"": 0}, matching the expectation that no archive payload is generated."",""diagnostics/execution summary show search_tool_calls=3, openwebpage_tool_calls=2, empty_tool_results_count=0, retry_or_replan_events=1, and provider_error_count=6.""],""concerns"":[""Run-level provider extraction errors/timeouts (provider_error_count=6) and completion_gate reason=quality_gate_failed indicate broader reliability issues outside fold_archive generation.""],""next_step"":""Inspect provider timeout/error handling in langextract path and confirm fold_archive populates in a run where fold_count > 0."",""confidence"":0.88}",2026-02-27T11:33:36+00:00,2026-02-27T11:33:40+00:00
execution_summary,/Users/cjerzak/Documents/asa-software/tracked_reports/execution_summary_real.txt,3cb2e8de-44ce-4262-8d6e-4e806f6739d9,execution_summary,7,execution_summary,completed,1,,"{""artifact_name"":""execution_summary"",""verdict"":""warn"",""expectation_summary"":""`trace_test_real.R` writes this artifact as a direct JSON snapshot of `elapsed_time`, `field_status`, `diagnostics`, and `completion_gate` (not a sentinel-wrapped artifact), so a populated object is expected when execution runs."",""observed_summary"":""Artifact is populated with expected keys; `elapsed_time` is 4.2439, `field_status` has 12 fields, and `completion_gate` shows `done=false`, `completion_status=\""in_progress\""`, and `reason=\""quality_gate_failed\""` with 7 unknown required fields."",""tool_call_assessment"":""Tool calls appear partially healthy: no empty/off-target tool results, but multiple extraction errors/fallbacks and repeated quality-gate failures indicate degraded reliability rather than clean success."",""evidence"":[""`trace_test_real.R` (execution summary block around lines 477-488) writes `toJSON(list(elapsed_time, field_status, diagnostics, completion_gate))` to `path_execution_summary` without `artifact_or_sentinel()`."",""Top-level keys are exactly `completion_gate`, `diagnostics`, `elapsed_time`, `field_status`; `elapsed_time=4.2439`; `field_status` count is 12."",""`completion_gate`: `done=false`, `completion_status=\""in_progress\""`, `quality_gate_failed=true`, `quality_gate_reason=\""global_confidence_below_min\""`, `missing_required_field_count=7`."",""Diagnostics show both positive and negative signals: `empty_tool_results_count=0`, `off_target_tool_results_count=0`, but `webpage_langextract_errors=2`, `search_snippet_langextract_errors=4`, `retry_or_replan_events=1`, `quality_gate_failures=4`, `finalization_invariant_failures=4`.""],""concerns"":[""Quality gate did not pass (`global_confidence_below_min`), leaving 7 resolvable fields unknown."",""Extraction layer instability is indicated by repeated `langextract` errors and fallback calls, plus repeated finalization invariant failure events.""],""next_step"":""Inspect `langextract` error paths and the `diagnostics_unknown_count_mismatch` loop, then rerun trace to confirm quality-gate pass rate improves."",""confidence"":0.9}",2026-02-27T11:33:40+00:00,2026-02-27T11:33:53+00:00
diagnostics,/Users/cjerzak/Documents/asa-software/tracked_reports/diagnostics_real.txt,3cb2e8de-44ce-4262-8d6e-4e806f6739d9,diagnostics,8,diagnostics,completed,1,,"{""artifact_name"":""diagnostics"",""verdict"":""warn"",""expectation_summary"":""`diagnostics_real.txt` should contain a populated JSON diagnostics object written directly from `attempt$execution$diagnostics`; this artifact is not sentinel-wrapped, so null/empty would be suspicious."",""observed_summary"":""Artifact is populated with detailed counters and interventions, but shows multiple provider/extraction failures and repeated quality/invariant failures."",""tool_call_assessment"":""Tool invocation occurred (search/openwebpage rounds executed, no empty/off-target tool results), but downstream extraction reliability is degraded (timeouts/no-payload errors, fallback/replan activity), so health is mixed."",""evidence"":[""`trace_test_real.R` writes diagnostics via `toJSON(attempt$execution$diagnostics)` at lines 491-493, with no `artifact_or_sentinel()` wrapper."",""Diagnostics shows actual tool usage: `performance.search_tool_calls=3`, `performance.openwebpage_tool_calls=2`, `performance.tool_round_count=4`."",""No empty/off-target tool-result flags: `empty_tool_results_count=0`, `off_target_tool_results_count=0`."",""Error pressure is high: `performance.provider_error_count=6`, `webpage_langextract_errors=2`, `search_snippet_langextract_errors=4`, last provider error `langextract_timeout:18.0s`."",""Completion quality gates failed repeatedly: `quality_gate_failures=4`, `finalization_invariant_failures=4` (reason `diagnostics_unknown_count_mismatch`), with retrieval interventions including `diagnostics_recovery_cap` and `no_new_high_quality_evidence_replan:2`.""],""concerns"":[""Repeated langextract timeout/no-payload failures suggest unstable extraction backend behavior under this run profile."",""Invariant/quality-gate failures plus `unknown_fields_count=7` indicate output quality is not meeting intended completion criteria despite tool calls.""],""next_step"":""Investigate and reduce langextract timeout/no-payload failures (provider/timeouts/fallback path), then rerun trace and confirm `quality_gate_failures` and `finalization_invariant_failures` drop to 0."",""confidence"":0.89}",2026-02-27T11:33:47+00:00,2026-02-27T11:33:58+00:00
